scenario,source,element,atoms_in,atoms_out_accounted,residual_out_minus_in,relative_residual,residual_percent,absolute_tolerance,relative_tolerance,allowed_absolute_residual,status
3,ANN,O,2.2406102836418547,2.2381062060594559,-0.0025040775823987893,-0.0011175872933729015,-0.11175872933729014,9.9999999999999995e-07,9.9999999999999995e-07,3.2406102836418545e-06,INCOMPLETE_NO_ANN_O2
4,ASPEN,C,1.3113749690000001,1.3113749689300001,-7.000000579182597e-11,-5.3379092514786264e-11,-5.3379092514786263e-09,9.9999999999999995e-07,9.9999999999999995e-07,2.3113749689999997e-06,PASS
4,ASPEN,H,5.2281806060000005,5.2281806057200004,-2.8000002316730388e-10,-5.3555920169622358e-11,-5.3555920169622359e-09,9.9999999999999995e-07,9.9999999999999995e-07,6.2281806060000001e-06,PASS
4,ASPEN,O,2.3083131570000002,2.3083131570000002,0,0,0,9.9999999999999995e-07,9.9999999999999995e-07,3.3083131570000003e-06,PASS
4,ANN,C,1.3113749689683298,1.3115935646492289,0.00021859568089910297,0.00016669197298395448,0.016669197298395447,9.9999999999999995e-07,9.9999999999999995e-07,2.31137496896833e-06,FAIL
4,ANN,H,5.2281806068528063,5.2306666783988476,0.0024860715460413019,0.0004755137079202464,0.047551370792024643,9.9999999999999995e-07,9.9999999999999995e-07,6.2281806068528056e-06,FAIL
4,ANN,O,2.3083131569496431,2.3085328936576843,0.00021973670804120715,9.5193629763641648e-05,0.0095193629763641648,9.9999999999999995e-07,9.9999999999999995e-07,3.3083131569496434e-06,INCOMPLETE_NO_ANN_O2
5,ASPEN,C,1.308379615,1.3083796142999999,-7.000000579182597e-10,-5.3501296557441373e-10,-5.3501296557441375e-08,9.9999999999999995e-07,9.9999999999999995e-07,2.3083796150000001e-06,PASS
5,ASPEN,H,5.8812980100000001,5.8812980151999996,5.1999995420715095e-09,8.8415848563190038e-10,8.8415848563190043e-08,9.9999999999999995e-07,9.9999999999999995e-07,6.8812980099999999e-06,PASS
5,ASPEN,O,2.5669970490000003,2.5669970489999998,-4.4408920985006262e-16,-1.729995015082164e-16,-1.729995015082164e-14,9.9999999999999995e-07,9.9999999999999995e-07,3.5669970489999997e-06,PASS
5,ANN,C,1.3083796148526439,1.3035736590391023,-0.0048059558135415958,-0.0036732120853800263,-0.36732120853800265,9.9999999999999995e-07,9.9999999999999995e-07,2.3083796148526439e-06,FAIL
5,ANN,H,5.881298010426641,5.8780096247792235,-0.0032883856474175133,-0.00055912583269674635,-0.055912583269674639,9.9999999999999995e-07,9.9999999999999995e-07,6.8812980104266402e-06,FAIL
5,ANN,O,2.5669970498434225,2.5668767690658565,-0.00012028077756598421,-4.685660919373511e-05,-0.0046856609193735108,9.9999999999999995e-07,9.9999999999999995e-07,3.5669970498434226e-06,INCOMPLETE_NO_ANN_O2
